45234_3#1.cram	WT_LO_19T_190
45234_3#9.cram	WT_LO_19T_127
45234_3#18.cram	WT_LO_19T_213
45234_3#25.cram	WT_LO_19T_146
45234_3#33.cram	WT_LO_19T_126
45234_3#43.cram	WT_LO_19T_149
45234_3#58.cram	WT_LO_19T_197
45234_3#2.cram	WT_LO_19T_133
45234_3#10.cram	WT_LO_19T_174
45234_3#19.cram	WT_LO_19T_134
45234_3#26.cram	WT_LO_19T_161
45234_3#44.cram	WT_LO_19T_166
45234_3#52.cram	WT_LO_19T_183
45234_3#59.cram	WT_LO_19T_144
45234_3#3.cram	WT_LO_19T_145
45234_3#11.cram	WT_LO_19T_202
45234_3#20.cram	WT_LO_19T_217
45234_3#27.cram	WT_LO_19T_142
45234_3#34.cram	WT_LO_19T_150
45234_3#45.cram	WT_LO_19T_138
45234_3#53.cram	WT_LO_19T_131
45234_3#60.cram	WT_LO_19T_205
45234_3#4.cram	WT_LO_19T_176
45234_3#12.cram	WT_LO_19T_152
45234_3#21.cram	WT_LO_19T_141
45234_3#28.cram	WT_LO_19T_171
45234_3#35.cram	WT_LO_19T_122
45234_3#46.cram	WT_LO_19T_193
45234_3#54.cram	WT_LO_19T_164
45234_3#61.cram	WT_LO_19T_167
45234_3#5.cram	WT_LO_19T_129
45234_3#13.cram	WT_LO_19T_199
45234_3#22.cram	WT_LO_19T_139
45234_3#29.cram	WT_LO_19T_216
45234_3#47.cram	WT_LO_19T_211
45234_3#55.cram	WT_LO_19T_207
45234_3#62.cram	WT_LO_19T_130
45234_3#14.cram	WT_LO_19T_162
45234_3#23.cram	WT_LO_19T_186
45234_3#30.cram	WT_LO_19T_169
45234_3#36.cram	WT_LO_19T_210
45234_3#48.cram	WT_LO_19T_191
45234_3#56.cram	WT_LO_19T_198
45234_3#63.cram	WT_LO_19T_215
45234_3#6.cram	WT_LO_19T_181
45234_3#15.cram	WT_LO_19T_189
45234_3#24.cram	WB_LO_19T_163
45234_3#37.cram	WB_LO_19T_106
45234_3#49.cram	WB_LO_19T_108
45234_3#64.cram	WB_LO_19T_112
45234_3#7.cram	WB_LO_19T_196
45234_3#16.cram	WB_LO_19T_128
45234_3#38.cram	WB_LO_19T_197
45234_3#50.cram	WB_LO_19T_195
45234_3#57.cram	WB_LO_19T_127
45234_3#31.cram	WB_LO_19T_167
45234_3#39.cram	WB_LO_19T_162
45234_3#65.cram	WB_LO_19T_199
45234_3#32.cram	WB_LO_19T_170
45234_3#40.cram	WB_LO_19T_119
45234_3#66.cram	WB_LO_19T_142
45234_3#8.cram	WB_LO_19T_137
45234_3#17.cram	WB_LO_19T_156
45234_3#41.cram	WB_LO_19T_260
45234_3#67.cram	WB_LO_19T_121
45234_3#42.cram	WB_LO_19T_166
45234_3#51.cram	WB_LO_19T_263
45234_3#68.cram	WB_LO_19T_183
45234_3#80.cram	WB_LO_19T_164
45234_4#5.cram	WB_LO_19T_198
45234_4#16.cram	WB_LO_19T_194
45234_4#27.cram	SL_LO_19T_187
45234_4#38.cram	SL_LO_19T_165
45234_4#49.cram	SL_LO_19T_121
45234_4#60.cram	SL_LO_19T_133
45234_3#69.cram	SL_LO_19T_147
45234_4#6.cram	SL_LO_19T_151
45234_4#17.cram	SL_LO_19T_184
45234_4#28.cram	SL_LO_19T_122
45234_4#39.cram	SL_LO_19T_167
45234_4#61.cram	SL_LO_19T_100
45234_3#70.cram	SL_LO_19T_103
45234_4#7.cram	SL_LO_19T_124
45234_4#18.cram	SL_LO_19T_146
45234_4#29.cram	SL_LO_19T_196
45234_4#40.cram	SL_LO_19T_118
45234_4#50.cram	SL_LO_19T_160
45234_4#62.cram	SL_LO_19T_139
45234_3#71.cram	SL_LO_19T_164
45234_3#81.cram	SL_LO_19T_142
45234_4#19.cram	SL_LO_19T_174
45234_4#30.cram	SL_LO_19T_158
45234_4#41.cram	SL_LO_19T_115
45234_4#51.cram	SL_LO_19T_157
45234_4#63.cram	SL_LO_19T_134
45234_3#72.cram	SL_LO_19T_117
45234_3#82.cram	SL_LO_19T_141
45234_4#8.cram	SL_LO_19T_105
45234_4#42.cram	SL_LO_19T_162
45234_4#52.cram	SL_LO_19T_192
45234_4#64.cram	SL_LO_19T_177
45234_3#73.cram	SL_LO_19T_144
45234_3#83.cram	SL_LO_19T_197
45234_4#9.cram	SL_LO_19T_194
45234_4#20.cram	SL_LO_19T_193
45234_4#31.cram	SL_LO_19T_101
45234_4#43.cram	SL_LO_19T_199
45234_4#53.cram	SL_LO_19T_129
45234_4#65.cram	SL_LO_19T_171
45234_3#74.cram	SL_LO_19T_182
45234_3#84.cram	SL_LO_19T_176
45234_4#10.cram	SL_LO_19T_190
45234_4#21.cram	SL_LO_19T_143
45234_4#32.cram	SL_LO_19T_153
45234_4#44.cram	SL_LO_19T_102
45234_4#54.cram	LG_LO_19T_146
45234_4#66.cram	LG_LO_19T_073
45234_3#75.cram	LG_LO_19T_088
45234_3#85.cram	LG_LO_19T_132
45234_4#11.cram	LG_LO_19T_144
45234_4#22.cram	LG_LO_19T_007
45234_4#33.cram	LG_LO_19T_070
45234_4#45.cram	LG_LO_19T_134
45234_4#55.cram	LG_LO_19T_074
45234_4#67.cram	LG_LO_19T_060
45234_3#76.cram	LG_LO_19T_119
45234_4#1.cram	LG_LO_19T_129
45234_4#12.cram	LG_LO_19T_108
45234_4#23.cram	LG_LO_19T_139
45234_4#34.cram	LG_LO_19T_131
45234_4#46.cram	LG_LO_19T_093
45234_4#56.cram	LG_LO_19T_095
45234_4#68.cram	LG_LO_19T_140
45234_3#77.cram	LG_LO_19T_063
45234_4#2.cram	LG_LO_19T_094
45234_4#13.cram	LG_LO_19T_149
45234_4#24.cram	LG_LO_19T_124
45234_4#35.cram	LG_LO_19T_123
45234_4#57.cram	LG_LO_19T_098
45234_4#69.cram	LG_LO_19T_090
45234_3#78.cram	LG_LO_19T_009
45234_4#3.cram	LG_LO_19T_106
