FG_CC_19T_057_2-3025994_S64_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  3970862   20134184  97.8323   25.6604    35.9       54
chrY      1         15859692  965346    5160011   32.5354   6.66689    35.4       12.9
##        Avg.      coverage  =         24.1439
LG_HL_19T_372_2-3025977_S47_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  3202701   20148666  97.9027   20.6481    35.9       52.2
chrY      1         15859692  3054551   15679721  98.8652   24.8183    35.8       36.8
##        Avg.      coverage  =         33.0644
LG_HL_19T_384_2-3025974_S44_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  4671869   20179103  98.0506   30.3791    35.9       54.4
chrY      1         15859692  969693    5322739   33.5614   6.89936    35.5       12
##        Avg.      coverage  =         28.5441
LG_LO_19T_222_2-3025884_S4_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  2410381   20108347  97.7068   14.6498    36.1       50.2
chrY      1         15859692  2276100   15552456  98.0628   17.8946    36         35.1
##        Avg.      coverage  =         23.369
SL_CL_19T_365_2-3025989_S59_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  3098280   20126540  97.7952   19.8801    36         52
chrY      1         15859692  3199719   15684295  98.8941   25.7402    35.9       34.7
##        Avg.      coverage  =         32.0817
SL_HL_19T_228_2-3025970_S40_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  3444612   20167630  97.9949   22.3414    36         53.9
chrY      1         15859692  745553    5178060   32.6492   5.4018     35.7       13
##        Avg.      coverage  =         21.1267
SL_HL_19T_290_2-3025968_S38_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  4527299   20179440  98.0522   29.3228    36         54.3
chrY      1         15859692  996308    5421300   34.1829   7.16646    35.6       13.2
##        Avg.      coverage  =         27.6667
SL_LO_19T_186_2-3025990_S60_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  2625179   20123941  97.7826   16.8744    36         51.8
chrY      1         15859692  2601090   15691370  98.9387   21.0056    35.9       35.4
##        Avg.      coverage  =         26.9733
TL_CC_19T_115_2-3025980_S50_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  5034994   20120943  97.768    32.7012    35.9       54.3
chrY      1         15859692  1033250   5428184   34.2263   7.50022    35.6       13.2
##        Avg.      coverage  =         30.7596
TL_CC_19T_117_2-3025987_S57_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  3943854   20119949  97.7632   25.3588    36.1       53.8
chrY      1         15859692  920655    5232667   32.9935   6.71599    35.8       13.9
##        Avg.      coverage  =         24.0929
TL_GL_19T_201_2-3025984_S54_L001.cov
TL_GL_19T_212_2-3025992_S62_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  3947979   20121884  97.7726   25.576     35.9       53.8
chrY      1         15859692  946757    5252402   33.1179   6.78266    35.5       13.2
##        Avg.      coverage  =         24.0565
TL_LL_19T_098_2-3025976_S46_L001.cov
TL_LL_19T_267_2-3025978_S48_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  2909760   20106040  97.6956   18.5935    35.8       51.7
chrY      1         15859692  2852956   15657413  98.7246   22.7871    35.7       35.2
##        Avg.      coverage  =         29.9553
TL_LO_19T_106_2-3025887_S7_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  2261601   20080272  97.5704   14.4723    35.9       51.8
chrY      1         15859692  2160241   15640908  98.6205   17.3342    35.8       35.9
##        Avg.      coverage  =         23.0903
WB_LL_19T_259_2-3025982_S52_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  3089903   20147568  97.8974   19.8865    35.9       52.2
chrY      1         15859692  3051392   15680912  98.8727   24.5887    35.8       35.7
##        Avg.      coverage  =         31.8292
WB_LL_19T_264_2-3025966_S36_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  3386106   20163098  97.9728   21.9619    36         54.3
chrY      1         15859692  725595    4937690   31.1336   5.22606    35.6       12.7
##        Avg.      coverage  =         20.5408
WB_LL_19T_269_2-3025964_S34_L001.cov
#rname    startpos  endpos    numreads  covbases  coverage  meandepth  meanbaseq  meanmapq
chrXIX    1         20580295  4138768   20151677  97.9173   26.9335    35.9       54.5
